title,avg_rating,genres,author,num_pages,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5
Misery,4.14,"Horror, Fiction, Thriller",Stephen King,370,$3.28,11/1/1988,5207,14172,72387,150963,176598
Fallen,3.74,"Paranormal, Romance, Young Adult, Angels, Fantasy",Lauren Kate,452,$64.25,12/8/2009,26085,45754,103110,116622,154662
Peace Like a River,3.99,"Fiction, Historical Fiction, Historical, Book Club",Leif Enger,312,$5.35,8/7/2002,1168,3733,14182,25061,24677
Reading Lolita in Tehran: A Memoir in Books,3.59,"Biography, Memoir, Autobiography, Nonfiction",Azar Nafisi,356,$7.15,12/30/2003,4555,11304,30741,37339,23483
Silent Spring,3.96,"Nonfiction, Environment, Nature, Science, Classics",Rachel Carson,378,$6.73,10/22/2002,681,1455,6283,10996,10136
I Know This Much Is True,4.18,"Fiction, Contemporary",Wally Lamb,897,$9.63,5/26/1999,4622,10440,42001,92764,126120
The Baron in the Trees,4.06,"Fiction, Fantasy, Literature, European Literature, Italian Literature, Cultural, Italy, Novels, Classics",Italo Calvino,217,$10.97,3/28/1977,250,979,4568,9077,8648
The Art of Racing in the Rain,4.2,"Fiction, Contemporary, Animals, Dogs",Garth Stein,321,$2.99,5/13/2008,5281,15243,59304,132003,187324
Digital Fortress,3.64,"Fiction, Mystery, Thriller, Suspense",Dan Brown,510,$7.90,4/26/2004,18027,51479,151192,165009,122777
Dune,4.21,"Science Fiction, Classics, Fiction, Fantasy",Frank Herbert,528,$12.99,8/2/2005,14394,25274,83657,179148,308774
Dune,4.21,"Science Fiction, Classics, Fiction, Fantasy",Frank Herbert,604,$12.99,6/1/2006,14394,25273,83654,179137,308765
One Foot in the Grave,4.31,"Urban Fantasy, Paranormal Romance, Paranormal, Vampires, Romance, Fantasy",Jeaniene Frost,357,$34.85,4/29/2008,712,2057,11422,28456,44721
The Fifth Elephant,4.27,"Mystery, Science Fiction Fantasy, Comedy, Humor, Fiction, Fantasy, Funny, Science Fiction, European Literature, British Literature, Audiobook",Terry Pratchett,464,$7.71,11/6/2008,109,760,7880,20903,24220
